startStation,endStation,time,weekday,passengerFlow,trafficCondition,busPlate,arrivalDuration
M16/1,M109,07:29:19,3,-1,1,MY9154,23
T406,T345/1,07:29:19,3,-1,-1,MY9487,311
C653/2,C692,07:29:32,3,-1,3,MY9211,95
M113,M94,07:29:46,3,-1,-1,MY9282,41
T379,T359,07:29:50,3,-1,-1,MY9278,30
T431,T335/2,07:30:24,3,-1,1,MY9491,75
C692,C689/1,07:30:47,3,-1,1,MY9211,47
T335/2,T338,07:31:04,3,-1,-1,MY9491,13
M177,M198,07:31:08,3,-1,1,MY9362,129
T359,T355/1,07:31:11,3,-1,1,MY9278,71
T345/1,T322,07:31:52,3,-1,-1,MY9487,129
M198,M183/2,07:32:26,3,-1,1,MY9362,64
C689/1,T355/2,07:33:01,3,-1,1,MY9211,103
T338,T326/3,07:33:18,3,-1,-1,MY9491,106
M109,M112,07:33:49,3,-1,1,MY9154,221
T322,T342,07:34:02,3,-1,-1,MY9487,96
M183/2,M140/1,07:34:19,3,-1,-1,MY9362,33
M183/2,M140/1,07:34:26,3,-1,-1,MY9362,3
T326/3,T332/2,07:34:29,3,-1,1,MY9491,60
M112,M127,07:34:43,3,-1,-1,MY9154,30
M140/1,M137/2,07:35:13,3,-1,1,MY9362,37
T355/2,T360,07:35:21,3,-1,1,MY9211,105
T342,T409,07:35:21,3,-1,-1,MY9487,51
T332/2,T325/2,07:35:38,3,-1,-1,MY9491,55
T355/1,C688/1,07:35:51,3,-1,3,MY9278,256
M127,M125,07:36:09,3,-1,1,MY9154,34
T360,T376/1,07:36:15,3,-1,1,MY9211,30
T325/2,T339/4,07:36:19,3,-1,-1,MY9491,37
T409,T368,07:36:26,3,-1,1,MY9487,52
M137/2,M132/1,07:36:26,3,-1,1,MY9362,31
C688/1,C691,07:37:02,3,-1,-1,MY9278,26
T368,T324/2,07:37:08,3,-1,1,MY9487,25
T376/1,T363/1,07:37:11,3,-1,1,MY9211,45
M125,M136/2,07:37:46,3,-1,2,MY9154,20
T363/1,T374,07:38:21,3,-1,1,MY9211,31
M132/1,M200,07:38:27,3,-1,3,MY9362,34
T339/4,T408/1,07:38:35,3,-1,-1,MY9491,105
T324/2,T327,07:38:42,3,-1,1,MY9487,65
T374,T406,07:39:13,3,-1,1,MY9211,27
M136/2,M139/2,07:39:20,3,-1,1,MY9154,58
C691,C652,07:39:20,3,-1,1,MY9278,110
T327,T326/2,07:39:31,3,-1,1,MY9487,28
M200,M201,07:39:31,3,-1,-1,MY9362,24
C652,C655,07:40:21,3,-1,1,MY9278,29
C652,C655,07:40:29,3,-1,1,MY9278,4
C652,C655,07:40:35,3,-1,1,MY9278,3
M201,M121,07:40:40,3,-1,-1,MY9362,30
C652,C655,07:40:48,3,-1,1,MY9278,4
M201,M121,07:40:48,3,-1,-1,MY9362,4
T326/2,T337,07:40:58,3,-1,-1,MY9487,62
T408/1,T343,07:41:40,3,-1,-1,MY9491,167
C655,C657,07:41:40,3,-1,-1,MY9278,46
T337,T334,07:41:40,3,-1,-1,MY9487,24
M121,M119,07:42:01,3,-1,1,MY9362,28
C657,C686,07:42:13,3,-1,-1,MY9278,22
M95/3,M22,07:42:38,3,-1,-1,MY9282,109
M139/2,M184,07:42:38,3,-1,1,MY9154,109
T334,T430,07:43:02,3,-1,-1,MY9487,52
M184,M188,07:43:23,3,-1,1,MY9154,31
M119,M113,07:43:30,3,-1,-1,MY9362,55
C686,C656,07:43:41,3,-1,1,MY9278,31
C656,C654/3,07:44:44,3,-1,1,MY9278,52
T343,T316,07:44:51,3,-1,1,MY9491,101
M113,M94,07:44:58,3,-1,-1,MY9362,31
M22,M10,07:45:55,3,-1,-1,MY9282,130
M277,M182/1,07:47:06,3,-1,-1,MY9154,127
T316,T345/5,07:47:19,3,-1,-1,MY9491,133
C654/3,C653/2,07:48:23,3,-1,1,MY9278,43
T345/1,T322,07:48:26,3,-1,-1,MY9211,98
T430,M177,07:48:37,3,-1,-1,MY9487,306
T345/5,T344,07:49:04,3,-1,1,MY9491,84
M10,M16/1,07:49:41,3,-1,-1,MY9282,118
T322,T342,07:50:29,3,-1,-1,MY9211,95
T344,T356/1,07:51:10,3,-1,1,MY9491,92
M177,M198,07:51:10,3,-1,1,MY9487,126
C653/2,C692,07:51:13,3,-1,3,MY9278,129
M182/1,T431,07:51:17,3,-1,1,MY9154,217
T342,T409,07:51:54,3,-1,1,MY9211,40
T356/1,T358,07:52:31,3,-1,1,MY9491,64
M16/1,M109,07:52:41,3,-1,1,MY9282,166
M198,M183/2,07:53:01,3,-1,1,MY9487,94
M95/3,M22,07:53:22,3,-1,2,MX7866,53
C692,C689/1,07:53:22,3,-1,1,MY9278,94
T335/2,T338,07:53:29,3,-1,1,MY9154,13
T358,T373/2,07:53:52,3,-1,1,MY9491,30
T409,T368,07:53:52,3,-1,1,MY9211,71
T368,T324/2,07:54:33,3,-1,1,MY9211,27
T338,T326/3,07:55:07,3,-1,-1,MY9154,67
C689/1,T355/2,07:55:51,3,-1,1,MY9278,115
T324/2,T327,07:56:04,3,-1,1,MY9211,64
T373/2,T375,07:56:11,3,-1,1,MY9491,37
M183/2,M140/1,07:56:11,3,-1,1,MY9487,67
T326/3,T332/2,07:56:15,3,-1,1,MY9154,47
M22,M10,07:56:25,3,-1,2,MX7866,115
M22,M10,07:56:42,3,-1,2,MX7866,3
T327,T326/2,07:56:48,3,-1,1,MY9211,6
M109,M112,07:57:36,3,-1,1,MY9282,240
T375,T380,07:57:36,3,-1,1,MY9491,54
