startStation,endStation,time,weekday,passengerFlow,trafficCondition,busPlate,arrivalDuration
C687,C675,09:24:24,3,-1,1,AB5425,59
C675,C668,09:24:56,3,-1,1,AB5425,22
C668,C678,09:25:22,3,-1,1,AB5425,16
C678,C665,09:25:59,3,-1,1,AB5425,27
C665,C663,09:26:27,3,-1,1,AB5425,20
C663,C661,09:27:11,3,-1,1,AB5425,33
C661,C659,09:27:51,3,-1,1,AB5425,20
C659,C656,09:29:06,3,-1,1,AB5425,40
C656,C654/2,09:30:27,3,-1,1,AB5425,67
C688/1,C691,09:31:28,3,-1,1,AB5900,135
C654/2,C653/2,09:31:52,3,-1,1,AB5425,38
C691,C652,09:33:35,3,-1,1,AB5900,95
C653/2,C692,09:33:52,3,-1,1,AB5425,68
C652,C655,09:34:46,3,-1,-1,AB5900,33
C655,C657,09:36:01,3,-1,-1,AB5900,51
C657,C660,09:36:49,3,-1,1,AB5900,38
C692,C689/1,09:36:52,3,-1,1,AB5425,126
T336/2,T335/2,09:36:56,3,-1,1,AC1346,28
T335/2,T338,09:37:26,3,-1,-1,AC1346,3
C660,C662,09:37:43,3,-1,1,AB5900,20
C662,C664,09:38:23,3,-1,1,AB5900,27
C664,C666,09:38:43,3,-1,1,AB5900,12
T338,T326/3,09:39:01,3,-1,-1,AC1346,61
C666,C677,09:39:07,3,-1,-1,AB5900,13
C689/1,T360,09:39:31,3,-1,1,AB5425,121
C677,C667,09:39:35,3,-1,1,AB5900,16
T326/3,T332/2,09:39:45,3,-1,1,AC1346,33
C667,C676,09:40:25,3,-1,-1,AB5900,16
T332/2,T325/2,09:41:07,3,-1,-1,AC1346,51
T360,T376/1,09:41:20,3,-1,1,AB5425,92
C676,C680,09:41:34,3,-1,-1,AB5900,58
T325/2,T339/4,09:41:57,3,-1,-1,AC1346,16
C680,C669/1,09:42:25,3,-1,-1,AB5900,17
T376/1,T363/1,09:42:42,3,-1,2,AB5425,75
T339/4,T313,09:43:00,3,-1,2,AC1346,52
C669/1,C693,09:43:44,3,-1,-1,AB5900,58
T313,T315,09:43:54,3,-1,2,AC1346,17
T363/1,T306,09:45:03,3,-1,2,AB5425,95
T315,T375,09:45:44,3,-1,2,AC1346,85
C693,C681,09:46:04,3,-1,-1,AB5900,133
T306,T314/2,09:46:04,3,-1,-1,AB5425,50
T375,T380,09:46:43,3,-1,1,AC1346,24
C681,C671,09:47:04,3,-1,-1,AB5900,48
T314/2,T318,09:47:17,3,-1,-1,AB5425,13
T380,T379,09:47:24,3,-1,1,AC1346,13
T314/2,T318,09:47:24,3,-1,-1,AB5425,3
T318,T319,09:48:15,3,-1,-1,AB5425,6
T379,T359,09:48:59,3,-1,-1,AC1346,71
C671,C695,09:49:02,3,-1,-1,AB5900,87
T319,T320,09:49:09,3,-1,-1,AB5425,41
T359,T355/1,09:50:38,3,-1,3,AC1346,71
T320,T321/2,09:50:38,3,-1,-1,AB5425,14
C695,C673,09:50:44,3,-1,-1,AB5900,91
C673,C672,09:51:25,3,-1,-1,AB5900,31
T321/2,T323,09:51:39,3,-1,1,AB5425,23
